Customer ID,Tenure,Completed tutorial,Theme,TicketCount,Continent,Country-Region,Subscription Type,Role in Org,Company Size,browser,tablet,mobile,FirstName,LastName,Email,Rating
10041892,26.0,yes,speed,5,Europe,France,Premier,consumer,> 50000,True,False,False,Omar,Wang,omar1@adventure-works.com,Low
10031890,18.0,yes,price,0,Europe,Germany,Basic,administrator,5000 - 50000,True,False,True,Reginald,Vazquez,reginald0@adventure-works.com,High
10042956,58.0,no,security,5,Europe,Germany,Premier,administrator,5000 - 50000,False,False,True,Brian,Bailey,brian27@adventure-works.com,Low
10040390,18.0,yes,price,9,Europe,Germany,Premier,consumer,5000 - 50000,True,False,False,Cara,Lu,cara7@adventure-works.com,Low
10035853,48.0,yes,usability,0,Europe,UK,Premier,consumer,< 5000,True,False,False,Carolyn,Moreno,carolyn27@adventure-works.com,High
10030506,41.0,yes,features,1,Europe,UK,Premier,consumer,< 5000,True,False,False,Jocelyn,Bradley,jocelyn1@adventure-works.com,High
10040313,16.0,no,usability,6,Europe,France,Premier,publisher,< 5000,True,True,False,Kristi,Rodriguez,kristi37@adventure-works.com,Low
10010300,18.0,no,price,0,Europe,Spain,Premier,publisher,< 5000,True,False,False,Kaylee,Morgan,kaylee19@adventure-works.com,High
10002044,18.0,yes,services,2,Europe,France,Basic,publisher,5000 - 50000,True,False,False,Katrina,Jai,katrina10@adventure-works.com,High
10040339,20.0,no,design,7,Europe,France,Premier,publisher,5000 - 50000,True,False,False,Jeremiah,Lewis,jeremiah9@adventure-works.com,Low
10032137,6.0,yes,speed,1,Europe,France,Premier,consumer,< 5000,False,True,False,Victoria,Barnes,victoria51@adventure-works.com,High
10040119,11.0,yes,reliability,2,Europe,UK,Basic,publisher,< 5000,True,False,False,Marie,Martin,marie24@adventure-works.com,Low
10016699,23.0,no,services,0,Europe,Germany,Premier,administrator,5000 - 50000,True,False,True,Rebecca,Turner,rebecca7@adventure-works.com,High
10037421,51.0,no,security,1,Europe,UK,Premier,consumer,5000 - 50000,True,True,False,Stanley,Malhotra,stanley5@adventure-works.com,High
10003452,28.0,yes,price,2,Europe,UK,Basic,publisher,5000 - 50000,True,False,True,Alex,Gonzalez,alex37@adventure-works.com,High
10042393,3.0,yes,reliability,6,Europe,UK,Premier,consumer,< 5000,True,False,False,Lisa,Lu,lisa15@adventure-works.com,Low
10009385,0.0,no,features,0,Europe,UK,Premier,publisher,5000 - 50000,True,False,False,Jason,Patterson,jason8@adventure-works.com,High
